start_event_idx,end_event_idx,start_n,end_n,length_events,max_gap,sum_gap,mean_abs_y,branch_types
7246,7248,5092258,5092689,3,429,433,3.809922333333333,"{0: np.int64(2), 1: np.int64(1)}"
7250,7252,5092692,5092717,3,23,27,1.8592803333333332,"{0: np.int64(2), 1: np.int64(1)}"
5697,5699,3024751,3025508,3,514,759,2.080741,"{0: np.int64(2), 1: np.int64(1)}"
6854,6856,4644984,4682887,3,36058,39871,3.540653666666667,"{0: np.int64(2), 1: np.int64(1)}"
933,935,95867,96058,3,189,225,3.263449,"{0: np.int64(2), 1: np.int64(1)}"
937,939,96061,96146,3,81,87,2.467534666666667,"{0: np.int64(2), 1: np.int64(1)}"
7346,7348,5143312,5144029,3,511,1199,2.3816206666666666,"{0: np.int64(2), 1: np.int64(1)}"
5533,5535,2893995,2895226,3,1229,1737,4.511588333333333,"{0: np.int64(2), 1: np.int64(1)}"
6850,6852,4636610,4643015,3,5900,7863,3.601077333333334,"{0: np.int64(2), 1: np.int64(1)}"
229,231,9019,9080,3,51,63,1.8536886666666668,"{0: np.int64(2), 1: np.int64(1)}"
225,227,8921,9016,3,93,105,2.790683666666667,"{0: np.int64(2), 1: np.int64(1)}"
955,957,96541,97362,3,819,823,4.241007,"{0: np.int64(2), 1: np.int64(1)}"
7306,7308,5107430,5108725,3,836,1513,2.2428760000000003,"{0: np.int64(2), 1: np.int64(1)}"
963,965,97399,97602,3,171,205,2.272530333333333,"{0: np.int64(2), 1: np.int64(1)}"
6846,6848,4630666,4635151,3,4370,4553,2.794172666666667,"{0: np.int64(2), 1: np.int64(1)}"
5501,5503,2882013,2884248,3,2214,2869,4.839203333333334,"{0: np.int64(2), 1: np.int64(1)}"
5497,5499,2876335,2881378,3,3143,5347,2.852085666666666,"{0: np.int64(2), 1: np.int64(1)}"
